Type,Title,Abstract,Authors,Keywords,DOI,Publication Date,Pages
inproceedings,CASExplorer: A Conversational Academic and Career Advisor for College Students,"Choosing the right major is one of the most important steps for academic success for college students. However, making the right decision can be overwhelming caused by the lack of or too much information, especially for science, technology, engineering and mathematics (STEM) majors. The advancement of artificial intelligence (AI) and conversational agents, such as chatbots, has provided opportunities for assisting student learning. Originally used in messaging systems and customer service, chatbots have currently also been used in various fields such as health, human resources, and education. In this work in progress, we investigated the use of chatbots in higher education, especially in academic and career counseling services. We designed and implemented a chatbot called CASExplorer (career, academic, and self-explorer) to assist college students in STEM fields in learning about their majors and discovering related careers that match the students’ personality strengths.","Lee, Terri and Zhu, Tianjie and Liu, Sophia and Trac, Linh and Huang, Zizhen and Chen, Yu","education, chatbot, natural language processing, artificial intelligence",10.1145/3490355.3490368,2022,5
inproceedings,A Case Study of Integrating Fairness Visualization Tools in Machine Learning Education,"As demonstrated by media attention and research, Artificial Intelligence systems are not adequately addressing issues of fairness and bias, and more education on these topics is needed in industry and higher education. Currently, computer science courses that cover AI fairness and bias focus on statistical analysis or, on the other hand, attempt to bring in philosophical perspectives that lack actionable takeaways for students. Based on long-standing pedagogical research demonstrating the importance of using tools and visualizations to reinforce student learning, this case study reports on the impacts of using publicly-available visualization tools used in HCI practice as a resource for students examining algorithmic fairness concepts. Through qualitative review and observations of four focus groups, we examined six open-source fairness tools that enable students to visualize, quantify and explore algorithmic biases. The findings of this study provide insights into the benefits, challenges, and opportunities of integrating fairness tools as part of machine learning education.","Mashhadi, Afra and Zolyomi, Annuska and Quedado, Jay","Fairness, Tools, Ethics",10.1145/3491101.3503568,2022,7
article,A Research on University Students' Behavioral Intention to Use New-Generation Information Technology in Intelligent Foreign Language Learning,"A better understanding of how advancement in science and technology affect students’ learning behavior in academic setting can help all educators in higher education. With the advancement of science and technology, the new-generation information technology represented by ""Cloud Computing, Big Data, Internet of Things, Mobile Network and Artificial Intelligence"" has been profoundly changing the form of education, accelerating the transformation from Teaching 1.0 to Learning 2.0. To investigate the factors influencing university students using new generation of information technology in intelligent foreign language learning, this study proposed a research model based on Technology Acceptance Model (TAM). The sample data were collected from a survey of 237 students at a university. The analysis of structural equation modeling indicated that perceived usefulness, perceived ease of use, construction of foreign language intelligence classroom, and computer self-efficacy all have a positive impact on learners’ behavioral intention. These findings suggest that more emphasis should be laid on students’ learning characteristics, advantages of new generation of technology, as well as teachers’ intelligent literacy, so as to further promote the deep integration of the new-generation information technology and intelligent foreign language learning, improving the learning effectiveness ultimately and effectively.","Yu, Shanshan","technology acceptance model, intelligent foreign language learning, deep integration, new generation of information technology, behavioral intention",10.1145/3563774,2022,1
inproceedings,Toward a Cloud Computing Learning Community,"Cloud computing continues to be an important technology in higher education. This domain is a rapidly evolving space, and continues to gain momentum as a primary infrastructure topology for technological advances across emergent industries. The on-the-cloud paradigm provides numerous affordances and new methods of working in industry, and also for end users within recent fields of study, such as machine learning and artificial intelligence. As we move into the Industry 4.0 era with technology pillars such as the internet of things and cybersecurity, the importance of skillsets for cloud-based services will be an essential attribute for the majority of technology-related professions. Many higher education institutions have focused on offering training opportunities and programs for cloud computing, however, a lack of high-quality, contextualized to industry, curricula materials continues to be a challenge for educators. The purpose of this paper is to report on analyses conducted to categorize cloud computing courses currently taught in the higher education sector and to determine the possibility of moving towards the goal of a model curriculum. Additionally, the paper aims to provide guidance to educators about cloud computing skill-sets sought in the job market, and to report on a community platform designed to host cloud learning resources.","Foster, Derek and White, Laurie and Erdil, D. Cenk and Adams, Joshua and Arg\""{u}elles, Amadeo and Hainey, Brian and Hyman, Harvey and Lewis, Gareth and Nazir, Sajid and Nguyen, Van and Sakr, Majd and Stott, Lee","computer science, curriculum development, education, cloud computing",10.1145/3344429.3372506,2019,13
inproceedings,Adaptive E-Learning: Adaptation of Content According to the Continuous Evolution of the Learner During His Training,"Higher education has always been based on a traditional education system. All learners have to attend all training courses without taking into consideration human and logistical constraints. This situation leads to major problems of massification, which unfortunately subsequently lead to problems of demotivation or even abandonment of a large number of students.A solution to these problems resides in introduction of distance learning. The implementation of online courses, such as MOOC (Massive Open Online Courses), and the emergence of educational platforms such as LMS (Learning Management System) or LCMS (Learning Content Management System), have made it possible to introduce the notion of e-learning into Higher education. Nevertheless, if e-learning has left the Stone Age elsewhere, it is still an emerging field in some countries as Morocco where it is far from having reached maturity. Like any new system or proposal, e-learning has its own detractors who need to be more reassured on certain aspects.In this article, we deal with some major issues related to e-learning platforms, which offer pre-established pedagogical content without really taking into account the particularity or evolution of each learner during the training path. We will therefore talk about a customised or adaptive e-learning. By combining UBA (User Behavior Analytics) and AI (Artificial Intelligence), we will propose during this article an LBA (Learner Behavior Analytics) model based on an a system called SBAN (Score and Behavior ANalytics).","Zaoudi, Mohammed and Belhadaoui, Hicham","artificial Intelligence, SBAN, UBA, MOOC, LMS, e-learning, Adaptive e-learning, LBA, behavior analytics",10.1145/3386723.3387890,2020,6
inproceedings,Student Performance Prediction and Classification Using Machine Learning Algorithms,"For a productive and a good life, education is a necessity and it improves individuals' life with value and excellence. Also, education is considered a vital need for motivating self-assurance as well as providing the things are needed to partake in today's World. Throughout the years, education faced a number of challenges. Different methods of teaching and learning are suggested to increase the learning quality. In today's world, computers and portable devices are employed in every phase of daily life and many materials are available online anytime, anywhere. Technologies like Artificial Intelligence had a surprising evolution in many fields especially in educational teaching and learning processes. Higher education institutions have started to adopt the use of technology into their traditional teaching mechanisms for enhancing learning and teaching. In this paper, two datasets have been considered for the prediction and classification of student performance respectively using five machine learning algorithms. Eighteen experiments have been performed and preliminary results suggest that performances of students might be predictable and classification of these performances can be increased by applying pre-processing to the raw data before implementing machine learning algorithms.","Sekeroglu, Boran and Dimililer, Kamil and Tuncal, Kubra","Educational Evaluation, classification, machine learning, prediction",10.1145/3318396.3318419,2019,5
inproceedings,Exploring the Effects of Applying Learning Analytics for Teaching Procedural Skills in Health Sciences Education,"In Health Science Education (HSE), students must demonstrate technical skills in many procedures. However, traditional teaching methodologies limit the possibilities for personalized feedback from an instructor and generally do not allow students to achieve the required proficiency levels. Concerning this, technology has been installed as a learning resource with numerous benefits that allow new multidisciplinary lines of research, such as learning analytics (LA) and educational data mining (EDM). Both LA and EDM seek to improve educational practice based on the intensive use of educational data, such as analyzing online learning patterns, creating performance predictions, and incorporating artificial intelligence techniques. There is a range of possibilities in applying LA and EDM in teaching procedural skills that have not yet been explored. For this reason, this study aims to answer (1) How the educational data explain the development of procedural skills in virtual environments to support the teaching-learning process in Health Science Education?; and (2) How automatic feedback and adaptive personalization affect the performance and instructional design of the procedural skills learning process of health science students? We expect that this study contributes to the field of technical skills learning mediated by technology in higher education by using the data provided by the interaction of students with virtual resources to support educational decision-making and optimize the teaching and learning processes in HSE.","Villagr\'{a}n, Ignacio","learning analytics, educational data mining, procedural skills, health science education, adaptative learning",10.1145/3462204.3481799,2021,4
inproceedings,Code Free Chatbot Development: An Easy Way to Jumpstart Your Chatbot!,"Advancement in technology and innovation in teaching such as chatbot and extended reality can be daunting for teachers but as an educator, we need to leverage on these advancements to respond to the changes and challenges in the teaching and learning landscape. There are a number of tools available for teachers to use to overcome the challenges, and one of them is the application of artificial intelligence (AI) but creating a chatbot requires complex computer programming skills, and it is usually built from scratch to fit the intended educational purpose. This practice makes it difficult for teachers to adapt existing systems or to attempt in creating a similar version. In this workshop, we will be sharing our experiences gained from developing various chatbots for higher education using a commercial platform that can jumpstart your chatbot.","Luo, Crystal Jing and Wong, Victor Yiu Lun and Gonda, Donn Emmanuel","ai in education, chatbot, educational technologies",10.1145/3386527.3405932,2020,3
inproceedings,Smart Education: Education Reform in the Age of Intelligence,"In the era of intelligence, the new generation of information technology with 5G mobile communication, big data and artificial intelligence as its core has triggered a new round of education reform and promoted the transformation and upgrading of human education to smart education. As a new educational idea and practice, how should the public understand smart education? What are the characteristics of smart education? And what changes have been made in education? This paper aims to construct the ecological system of smart education by studying these three problems, and provide some useful references for the practice promotion and related research of smart education in the future.","Lian, Yuping","Information technology, Smart education, Education reform, Education informatization",10.1145/3502434.3502478,2022,5
inproceedings,Computer Intelligent Evaluation Model and Research on Education System Using BP Neural Network and Main Component Analysis,"With the development of globalization, the internationalization of higher education has become the mainstream trend of educational development all over the world. So how to accurately evaluate the health and sustainability of the higher education system and make correct reform has become a necessary problem. In this paper, the health evaluation model and sustainability evaluation model of the higher education system are established. And evaluate them in six countries which are the United States, Australia, Germany, Japan, India and South Africa. The results show the sustainability rating is Ⅴ, Ⅱ, Ⅲ, Ⅳ, Ⅱ, Ⅰ. In order to summarize the factors affecting the higher education system as far as possible, this paper screens 12 secondary indicators, such as the education fund and the number of institutions of higher learning, and replaces 12 secondary indicators with 3 first-level indicators using the main component analysis model, respectively, the cultural background of national higher education, the scale and investment of national higher education and the development prospects of national higher education. Using these three first-level indicators as input layers, the health status of the six countries mentioned above is evaluated by using the BP neural network evaluation model, then the higher education health evaluation model is obtained.","Yan, Feiyun and Wang, Xinlan",,10.1145/3495018.3501115,2022,6
inproceedings,Research on The Integration of Business Intelligence and Innovation and Entrepreneurship Education for Computer Science,"The cultivation of innovation and entrepreneurship ability of students majoring in computer science in Finance and economics university is a key issue for the development of this major. In view of the characteristics of artificial intelligence technology and finance and economics colleges, this paper puts forward the new engineering teaching reform idea of integrating business intelligence with innovation and entrepreneurship, and analyzes the objective combined with the actual situation of finance and economics colleges, and puts forward specific measures. This is helpful to the reform of new engineering teaching and the cultivation of innovative business intelligence technical talents.","Zhang, Kehong and Li, Shiwei","convergence, Innovation and entrepreneurship, business intelligence, computer",10.1145/3524383.3524385,2022,5
inproceedings,Research Status and Hotspot of Deep Learning in China-Based on the VOSviewer Science Map Analysis,"With the continuous advancement of educational informatization and the rapid development of artificial intelligence, deep learning, as an efficient learning method, will be constantly integrated into the development of higher education. In order to accurately grasp the current research status of deep learning in China, this paper based on the basic principle of scientometrics and information visualization, using VOSviewer information visualization software to comprehensively analyze the research status of 342 core studies in CSSCI database, including time distribution, core authors relationship network, keywords co-occurrence, literature cited network, etc. The results show that the research focuses mainly on five aspects: teaching practice based on traditional deep learning, principle and algorithm of deep learning technology, deep learning based on educational informationization, research on internal mechanism of deep learning, and application of deep learning technology. This result can provide some guidance for future researchers to clarify and carry out their own deep learning research.","Yu, Ma","VOSviewer, Knowledge map, Research hotspot, Deep learning",10.1145/3453187.3453343,2021,8
inproceedings,An Elephant in the Learning Analytics Room: The Obligation to Act,"As higher education increasingly moves to online and digital learning spaces, we have access not only to greater volumes of student data, but also to increasingly fine-grained and nuanced data. A significant body of research and existing practice are used to convince key stakeholders within higher education of the potential of the collection, analysis and use of student data to positively impact on student experiences in these environments. Much of the recent focus in learning analytics is around predictive modeling and uses of artificial intelligence to both identify learners at risk, and to personalize interventions to increase the chance of success.In this paper we explore the moral and legal basis for the obligation to act on our analyses of student data. The obligation to act entails not only the protection of student privacy and the ethical collection, analysis and use of student data, but also, the effective allocation of resources to ensure appropriate and effective interventions to increase effective teaching and learning.The obligation to act is, however tempered by a number of factors, including inter and intra-departmental operational fragmentation and the constraints imposed by changing funding regimes. Increasingly higher education institutions allocate resources in areas that promise the greatest return. Choosing (not) to respond to the needs of specific student populations then raises questions regarding the scope and nature of the moral and legal obligation to act. There is also evidence that students who are at risk of failing often do not respond to institutional interventions to assist them.In this paper we build and expand on recent research by, for example, the LACE and EP4LA workshops to conceptually map the obligation to act which flows from both higher education's mandate to ensure effective and appropriate teaching and learning and its fiduciary duty to provide an ethical and enabling environment for students to achieve success. We examine how the collection and analysis of student data links to both the availability of resources and the will to act and also to the obligation to act. Further, we examine how that obligation unfolds in two open distance education providers from the perspective of a key set of stakeholders - those in immediate contact with students and their learning journeys - the tutors or adjunct faculty.","Prinsloo, Paul and Slade, Sharon","learning analytics, obligation to act ethics",10.1145/3027385.3027406,2017,10
article,Get out of the BAG! Silos in AI Ethics Education: Unsupervised Topic Modeling Analysis of Global AI Curricula,"The domain of Artificial Intelligence (AI) ethics is not new, with discussions going back at least 40 years. Teaching the principles and requirements of ethical AI to students is considered an essential part of this domain, with an increasing number of technical AI courses taught at several higher-education institutions around the globe including content related to ethics. By using Latent Dirichlet Allocation (LDA), a generative probabilistic topic model, this study uncovers topics in teaching ethics in AI courses and their trends related to where the courses are taught, by whom, and at what level of cognitive complexity and specificity according to Bloom’s taxonomy. In this exploratory study based on unsupervised machine learning, we analyzed a total of 166 courses: 116 from North American universities, 11 from Asia, 36 from Europe, and 10 from other regions. Based on this analysis, we were able to synthesize a model of teaching approaches, which we call BAG (Build, Assess, and Govern), that combines specific cognitive levels, course content topics, and disciplines affiliated with the department(s) in charge of the course. We critically assess the implications of this teaching paradigm and provide suggestions about how to move away from these practices. We challenge teaching practitioners and program coordinators to reflect on their usual procedures so that they may expand their methodology beyond the confines of stereotypical thought and traditional biases regarding what disciplines should teach and how. This article appears in the AI &amp; Society track.","Javed, Rana Tallal and Nasir, Osama and Borit, Melania and Vanh\'{e}e, Lo\""{\i}s and Zea, Elias and Gupta, Shivam and Vinuesa, Ricardo and Qadir, Junaid","data mining, discourse modelling, scientific discovery, philosophical foundations",10.1613/jair.1.13550,2022,33
inproceedings,Innovation of Undergraduate Education Mode of the Financial Management Major in Big Data Era,"The fast development of a new generation of information technology represented by artificial intelligence has brought a far-reaching impact to the financial management activities in enterprises. In the future, big data, artificial intelligence and robot process automation will be widely applied, these promoted the transformation of traditional financial management into intelligent financial management [1]. How to meet the demand of financial management transformation in the big data era is an important issue that all universities and colleges should consider. By integrating OBE educational concept and CDIO engineering education mode, this paper reforms the curriculum system and teaching contents of financial management major of undergraduate education in order to improve students' ability of big data analysis. With the help of school-enterprise cooperation resources and technological advantages, the undergraduate education can cultivate compound and intelligent financial management talents to meet the needs of enterprises in the era of big data","Yao, Xiaolin and Wei, Qi and Zhang, Qisong","Big data, Artificial Intelligence, OBE-CDIO Mode, Robot Process Automation",10.1145/3404649.3404656,2020,7
inproceedings,Application of Intelligent Fingerprint Punch Card Technology in College Student Affairs Management,"Student information management is an important link in college students' work. With the continuous advancement of university education reform, student information presents the characteristics of wide source, fast change and difficult maintenance. This paper mainly studies the application analysis of artificial intelligence technology in university student affairs management. In system building, not only business thinking should be separated, but also the process of business analysis should be transformed into the process of system building. By sorting out the data items of student information, the data model is established. By establishing and expanding the business association between data items, the standardization and knowledge-based management of student information can be realized. On this basis, relevant artificial intelligence technology is introduced to help student staff analyze data, arrange work, and find problems and so on.","Yang, Hui",,10.1145/3495018.3495508,2022,5
inproceedings,What Do I Need to Know? Designing Student Learning Tools That Aid Interaction with Recorded Lecture Content,"This paper presents an exploratory investigation of how students might benefit from recorded class lectures. Our overarching goal is to inform design of an artificial intelligence (AI) tool that adds value to lecture recordings. To study this possibility, we surveyed undergraduate students about their active learning strategies and their visions of how AI might help them to engage more richly with digitized learning materials. We report our findings and discuss implications for design of a tool that can add value to recorded lectures; we also consider more generally the possibilities of using lecture recordings to enhance student learning.","Dhanorkar, Shipi and Hellar, D. Benjamin and Rosson, Mary Beth","higher education, active learning, lecture recordings",10.1145/3430895.3460169,2021,4
article,AI Education Matters: A First Introduction to Modeling and Learning Using the Data Science Workflow,"Traditionally artificial intelligence (AI) and machine learning (ML) courses are taught at the senior and graduate level in higher-education computer science curricula following the mastery learning strategy, cf. Figure 1. This makes sense, since most AI and ML models and the theory behind them require a substantial understanding of probability and statistics, as well as advanced calculus and matrix algebra. To understand Logistic Regression as a probabilistic classifier performing maximum-likelihood or maximum-a-posteriori estimation, for example, students need to understand joint and conditional probability distributions. In order to derive the back propagation algorithm to train Neural Networks students need to understand partial derivatives and inner and outer tensor products. These are just two of many examples where substantial mathematical background - typically taught at the junior level in a computer science major program - is required. With AI and ML algorithms being used more widely by enterprises across domains, as well as, in applications and services we use in our daily lives, it makes sense to raise awareness about what AI is, what it can and cannot do, and how it is used to solve problems to a broader audience. Very much in the same spirit as the ""CS for all"" idea (https://www.csforall.org), we have to extend our curricula to include introductory courses to AI and ML on the early undergraduate level (or even in high-school) to expose students to the ideas and working principles of AI technology. One way to achieve this is to introduce the principles of working with data, modeling, and learning through the data science workflow.","Neumann, Marion",,10.1145/3362077.3362083,2019,4
inproceedings,What Do Students at Distance Universities Think about AI?,"Algorithms, drawn from Artificial Intelligence (AI) technologies, are increasingly being used in distance education. However, currently little is known about the attitudes of distance education students to the benefits and risks associated with AI. For example, is AI broadly welcomed by distance education students, thought to be irrelevant, or disliked? Here, we present the initial findings of a survey of students from the UK's largest distance university as a first step towards addressing the question ""What do students at distance universities think about AI?"" Responses from the 222 contributors suggest that these students do expect AI to be beneficial for their future learning, with more respondents selecting potential benefits than selecting risks. Nonetheless, it is important to extend this exploratory study to students in other universities worldwide, and to other stakeholders.","Holmes, Wayne and Anastopoulou, Stamatina","student attitudes, survey, Algorithms, distance education, Artificial Intelligence",10.1145/3330430.3333659,2019,4
inproceedings,"AI in My Life: AI, Ethics &amp; Privacy Workshops for 15-16-Year-Olds","AI in My Life’ project will engage 500 Dublin teenagers from disadvantaged backgrounds in a 15-week (20-hour) co-created, interactive workshop series encouraging them to reflect on their experiences in a world shaped by Artificial Intelligence (AI), personal data processing and digital transformation. Students will be empowered to evaluate the ethical and privacy implications of AI in their lives, to protect their digital privacy and to activate STEM careers and university awareness. It extends the ‘DCU TY’ programme for innovative educational opportunities for Transition Year students from underrepresented communities in higher education. Privacy and cybersecurity researchers and public engagement professionals from the SFI Centres ADAPT1 and Lero2 will join experts from the Future of Privacy Forum3 and the INTEGRITY H20204 project to deliver the programme to the DCU Access5 22-school network. DCU Access has a mission of creating equality of access to third-level education for students from groups currently underrepresented in higher education. Each partner brings proven training activities in AI, ethics and privacy. A novel blending of material into a youth-driven narrative will be the subject of initial co-creation workshops and supported by pilot material delivery by undergraduate DCU Student Ambassadors. Train-the-trainer workshops and a toolkit for teachers will enable delivery. The material will use a blended approach (in person and online) for delivery during COVID-19. It will also enable wider use of the material developed. An external study of programme effectiveness will report on participants’: enhanced understanding of AI and its impact, improved data literacy skills in terms of their understanding of data privacy and security, empowerment to protect privacy, growth in confidence in participating in public discourse about STEM, increased propensity to consider STEM subjects at all levels, and greater capacity of teachers to facilitate STEM interventions. This paper introduces the project, presents more details about co-creation workshops that is a particular step in the proposed methodology and reports some preliminary results.","Bendechache, Malika and Tal, Irina and Wall, Pj and Grehan, Laura and Clarke, Emma and Odriscoll, Aidan and Der Haegen, Laurence Van and Leong, Brenda and Kearns, Anne and Brennan, Rob","Ethics., Co-creation, Security, Data, Privacy, Artificial Intelligence, STEM",10.1145/3462741.3466664,2021,6
inproceedings,System Framework of Intelligent Consulting Systems with Intellectual Technology,"The purposes of this research were: 1) Analyze factors affecting the student retention of higher education students, 2) Develop intelligent consulting system models with intellectual technology for the student retention of higher education students, 3) Design intelligent consulting system architecture with intellectual technology for the student retention of higher education students, 4) Develop intelligent consulting systems with intellectual technology for the student retention of higher education students, and 5) Study the results of intelligent consultation systems with intellectual technology for the student retention of higher education students. An intelligent counseling system with intellectual technology for the student retention of higher education students is a system that can reduce students' mid-exit rates and increase student retention rates. The research has synthesized analysis of factors that affect Student retention applied to Cognitive technology, machine learning can provide accurate student retention forecasts. Counselors can know before students drop out.","Suaprae, Phanintorn and Nilsook, Prachyanun and Wannapiroon, Panita",,10.1145/3479162.3479167,2021,6
inproceedings,Current Trends in Robotics in Education and Computational Thinking,"Computational thinking-related issues have had a specific track on TEEM Conference since 2016. This is the sixth edition of this track within the 2021 TEEM Conference edition. This year the papers are centered on programming and robotics, but the artificial intelligence topics increase their presence in the track.","Jos\'{e} Garc\'{\i}a-Pe\~{n}alvo, Francisco and Conde, Miguel \'{A}ngel and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e}","computational thinking skills and curriculum, computer science in K-12, robots, programming, coding in schools, Computational thinking, STEAM, STEM",10.1145/3486011.3486411,2021,4
inproceedings,A Comparative Study of It Education in Chinese and Japanese Universities Based on Big Data Analysis,"Over time, various novel methods and techniques have been proposed. Over the years, three technologies have emerged most frequently, namely big data, cloud computing, and artificial intelligence. Big data and cloud computing are actually extensions and paving the way for artificial intelligence technology. Especially in today's society, with the increase of energy resources, the application of big data is more and more extensive, and in education big data is also used in it. Therefore, it is now more and more convenient for us to know the excellence and gap between universities in various countries and regions. Therefore, the purpose of this paper is to study the comparative in the context of large data, Chinese and Japanese universities have the advantages and disadvantages of it education. Therefore, after consulting the relevant parties about it essence and it education, as well as the teaching background and teaching attitude of Chinese and Japanese universities, this paper integrates the information found by using big data-related algorithms, then analyzes and processes the relevant data using hierarchical bat algorithms, and then produces the experimental results we need. Experimental results show that the use of big data and hierarchical bat algorithms can better study the characteristics of it education in Chinese and Japanese universities.","Nan, Xiang and Chen, Huilin",,10.1145/3482632.3483087,2021,5
inproceedings,Integrating AI and Machine Learning in Software Engineering Course for High School Students,"This paper describes a unique software engineering curriculum for high-school students that includes subjects in artificial intelligence and machine learning. The students in the course deal with the implementation of solutions to riddles and games (complex algorithmic problems), use the DrRacket functional programming language as a tool that supports their comprehension and thorough understanding of blind search algorithms, informed search algorithms, search games trees and machine learning algorithms. During their studies, the students engage in self-learning, collaborative learning and peer teaching. At the end of the course, each student writes a final research project which integrates the main aspects that have been learned in the course.","Sperling, Ahuva and Lickerman, Dorit","computer science education, machine learning, artificial intelligence, project based learning, k-12",10.1145/2325296.2325354,2012,6
inproceedings,Toward Developing a Cloud Computing Model Curriculum,"Cloud Computing is a rapidly evolving field that is triggering a wave of innovations in various domains such as machine learning and artificial intelligence. Cloud skills are becoming essential for any technology-related profession. Furthermore, the accelerated adoption of cloud technologies by industry is increasing the demand for cloud-trained professionals. Thus, higher education institutions are offering training opportunities and programs in cloud computing, however, the lack of well-rounded and high-quality curricular materials continues to be a challenge for educators. A 2018 Working Group (WG) created a report that --among other artifacts-- described fourteen Knowledge Areas (KAs), with numerous Learning Objectives (LOs) for each KA, to teach cloud concepts. Expanding on that work, this WG will focus on providing a collection of resources that would eventually constitute a model cloud curriculum. By relying on two particular surveys: one that looks at the existing curricular offerings, and another one that maps knowledge areas to job titles in cloud computing, we plan to provide a dynamic and configurable curricular exemplars repository for the cloud community-at-large, following the popularity of hands-on, project-based learning methodologies as our primary focus.","Erdil, D. Cenk and White, Laurie and Foster, Derek and Adams, Joshua and Arguelles Cruz, Amadeo Jose and Hainey, Brian and Hyman, Harvey and Lewis, Gareth and Nazir, Sajid and Nguyen, Manh Van and Sakr, Majd and Stott, Lee","curriculum development, cloud computing, project-based learning, computer science, education",10.1145/3304221.3325536,2019,2
inproceedings,Big Data and Higher Vocational and Technical Education: Green Food and Its Industry Orientation,"This paper aims to focus on a series of issues related to green food and its industry orientation through big data and higher vocational and technical education technologies. The method consists of three steps the first step is to lock in the research objectives, namely: a series of problems in green food and its industry orientation; the second step is to distinguish three types of problems, namely: the first category is a large probability event, the predictable problem is directly solved by machine learning; the second category is a small probability event, which relies solely on machine automatic processing or batch processing can't solve problems, using a variety of human-computer interaction methods to deal with; the third category is cases and very special exceptions, usually only rely on the corresponding human experts to find the ways, and then, through the knowledge acquisition path to develop a dedicated artificial intelligence system. The third step is to incorporate them into the actual classroom teaching practice, or find the special daily life circle, it can be artificially set, even virtual, and tested in various application environments. The result is: through the teachers and students to continue to explore a series of issues related to green food and its industry forming the characteristics of big data and higher vocational and technical education technology. The significance is that is, a series of results of the research of the smart system can be directly used to study a series of problems focusing on green food and its industrial orientation.","Li, Jian and Yang, Qiang and Zou, Xiaohui","Big Data Applications, E-education, Data Management",10.1145/3322134.3322150,2019,6
inproceedings,Impacting of the E- Platforms on the 4.0th Industrial Educational Revolution,"Nowadays, the world witnesses a major revolution in the world of communications and information technology, where technology has been entered into all aspects of social, learning and military life in both phases: public and private. In this paper, the role of technology of the learning aspects and the electronic learning platforms have been taken as a clear model besides the duration of the impact of this technology on the development of the 4.0th industrial revolution. The paper is shown a short overview of the newest trends included in the Industry 4.0 initiative and their impact on education and propose a new trend in higher education environment, its Industrial University Revolution 4.0. The impact here means that it is the degree of compatibility between the components of the industrial revolution in terms of technology and the range of applied standards that harmonize with the principles of the electronic platforms. For instance, entering the artificial intelligence in e-learning, smart room, book, testing, and etc. The result of this study shows that the recent trends in e-learning and its own platforms show large harmony between the 4.0 industrial revolution and the outcomes of e-learning.","Ali, Ahmed Hadi and Mohammad, Omer K. Jasim","industrial revolution, systems of e-learning, information technology, e-learning, university internationalization, E-platforms",10.1145/3361570.3361608,2019,7
inproceedings,Learn to Machine Learn: Designing a Game Based Approach for Teaching Machine Learning to Primary and Secondary Education Students,"With the ubiquitous role of Artificial Intelligence (AI) in everyday applications such as smartphones and social media, children need digital literacy skills to navigate the digital world, critically view, and reflect on the social and ethical implications of the design and architecture of AI systems. To address this increasing need for AI literacy skills, particularly for younger students, this paper presents the rationale of the LearnML project which aims to develop a framework and game-based educational material for promoting AI literacy among primary and secondary education students. We also describe the design and initial assessment of the game “ArtBot”, developed as part of the LearnML project. We review existing literature, discuss the educational game design and development of “ArtBot” and describe the initial feedback of students and teachers. Our goal is to provide insights and suggest guidelines for the implementation of game-based learning environments for supporting AI literacy skills of students.","Voulgari, Iro and Zammit, Marvin and Stouraitis, Elias and Liapis, Antonios and Yannakakis, Georgios","educational game design, AI literacy, Game-based learning, secondary education, machine learning, primary education, AI education, digital literacy skills",10.1145/3459990.3465176,2021,6
inproceedings,"Interactive Online Tool as an Instrument for Learning Mathematics through Programming Techniques, Aimed at High School Students","The High school is the pillar in the development of skills and competences of the basic sciences, allowing to develop in the student abilities that will allow him to choose a profession, the mathematics course is the one indicated in allowing the development of logical, analytical, interpretation and of calculation, allowing to develop with greater comfort in higher education. University careers and techniques related to engineering areas, have a strong component in mathematics and the development of certain courses related to the use of computer tools with greater emphasis on programming courses, it is the programming courses that allow the continuity of the student, in this research work, we present an interactive tool through which the student of secondary education is presented, topics related to mathematics and the way how they can be solved through the use of programming techniques, jointly developing mathematical, logical and programming skills, allowing the student to improve their cognitive skills and their ability to use the different computational tools, the pilot test was conducted on the basis of 15 students in the second grade of secondary education of a school in Lima, where he was given the basic course of programming using the interactive tool, developing development guides with problems of mathematical reasoning, which allowed us to analyze the improvement in the way of approaching mathematical problems from a logic of programming as well as the way of learning a programming language, in our case the language used was Python with an interactive tool based on artificial intelligence, which allows the student to ask about the use of the language syntax.","Auccahuasi, Wilver and Santiago, Grisi Bernardo and N\'{u}\~{n}ez, Elizabeth Or\'{e} and Sernaque, Fernando","Python, Natural language processing, Chatbot, Smart agents",10.1145/3301551.3301580,2018,7
inproceedings,A Comparative Study of Implementation of Information Technology in the United Kingdom and Chinese Education Field,"This study aims to investigate the issues and challenges facing information technology implementation in higher education, from which the study seeks to compare key factors influence implementation decisions between Chinese and UK higher education. The study adopts a mixed method approach by using survey and in-depth interviews to collect primary data. The study found that Chinese and UK Universities encounter barriers, some are similar but others are different when deploying e-learning technologies. The key barriers are faced by UK institutions are mainly technical literate, lack of time and financial resources, and legal issues; whilst traditional mind-set; government support, teaching methods and market demand are the key barriers faced by Chinese institutions. The similar barriers faced between UK and Chinese e-learning deployment include the organizational capability and technical constraint. Based on the findings, the study called the attention of government policy makers and associations to provide necessary support to both UK and Chinese higher education institutions on their deployment of e-learning technologies. The research identified that technical constraints and organizational capability are common issues, this means that investment on technical expertise in e-learning technologies and further funding to provide training and human resources, are required from both institutional and governmental level, to help support the successful deployment of e-learning technology in higher education.","Luo, Lei","comparison of e-learning, Higher education; e-learning, issues and challenges, technology deployment, UK and Chinese",10.1145/3383923.3383951,2020,5
